class,precision,recall,f1_score,support
airplane,0.9918116683725691,0.969,0.9802731411229135,1000
automobile,0.9704724409448819,0.986,0.9781746031746031,1000
bird,0.983,0.983,0.983,1000
cat,0.9333996023856859,0.939,0.9361914257228315,1000
deer,0.9744094488188977,0.99,0.9821428571428571,1000
dog,0.9657676348547718,0.931,0.9480651731160896,1000
frog,0.9899699097291875,0.987,0.9884827240861291,1000
horse,0.9949545913218971,0.986,0.9904570567553993,1000
ship,0.9327731092436975,0.999,0.9647513278609368,1000
truck,0.9906444906444907,0.953,0.9714576962283384,1000
